biblio_code;Auteurs;Reference ;Lien/doi;
39;Niemeier_1961;Niemeier, Georg. “Agrarlandschaftliche Reliktgebiete Und Die Morphogenese von Kulturlandschaften Im Atlantischen Europa.” Geografiska Annaler, vol. 43, no. 1/2, 1961, p. 229, .;https://doi.org/10.2307/520246;
40;Nyssen_2014;Nyssen, Jan, et al. “Lynchets in Eastern Belgium — a Geomorphic Feature Resulting from Non-Mechanised Crop Farming.” CATENA, vol. 121, Oct. 2014, pp. 164–75. ResearchGate, .;https://doi.org/10.1016/j.catena.2014.05.011;
41;Patro_2008;Patro, Magdalena, et al. “Ploughed-on Terraces in Loess Landscape of Strongly Developed High Plains.” Annals of Warsaw University of Life Sciences - SGGW. Land Reclamation, vol. 39, no. 1, no. 1, Jan. 2008. DOI.org (Crossref),.;https://doi.org/10.2478/v10060-008-0009-2;
42;Pears_2024;Pears, Ben, et al. “Lynchet-Type Terraces, Loess, and Agricultural Resilience on Chalk Landscapes in the UK and Belgium.” European Journal of Archaeology, vol. 27, Apr. 2024, pp. 329–52. ResearchGate, .;https://doi.org/10.1017/eaa.2024.6;
43;Peltre,Bruant_1991;BRUANT Philippe, 1987, Recherches sur des désertions rurales en milieu forestier. Bois d’Anciotta, commune d’Allain, Meurthe-et-Moselle, thèse de doctorat de troisième cycle, Nancy, Université de Nancy 2.;https://hal.univ-lorraine.fr/tel-02324752v1;
44;PolednÃ­k.M_2024;Poledník Mohammadi, Sahar, et al. “The Medieval Croft Plužina Field System in a Mountain Region of Central Europe: The Interdisciplinary Record of the Earthen Field Boundaries in Debrné, Czechia.” Geoarchaeology, Feb. 2024. ResearchGate, .;https://doi.org/10.1002/gea.21998;
45;Popovic_2021;Popovic, Sara, et al. “Roman Land Division in Istria, Croatia: Historiography, LIDAR, Structural Survey and Excavations.” Mediterranean Archaeology and Archaeometry 21, 1., Jan. 2021. www.academia.edu, .;https://doi.org/10.5281/ZENODO.4394051;
46;Riezner_2011;Riezner, J. “KRAJINNÝ RÁZ ÚZEMÍ TYPICKÝCH AGRÁRNÍMI VALY A MEZEMI A JEJICH VEGETACÍ NA VYBRANÝCH P?ÍKLADECH ZE SEVEROZÁPADNÍCH ?ECH.” Adoc.Pub, no. 2, 2011, pp. 65–79, ;https://adoc.pub/krajinny-raz-uzemi-typickych-agrarnimi-valy-a-mezemi-a-jejic.html;
47;Schmidt_2023;Erosion Modelling Indicates a Decrease in Erosion Susceptibility of Historic Ridge and Furrow Fields near Albershausen, Southern Germany;https://doi.org/10.3390/land12030544;
48;Schneideretal_2025;Schneider, Anna, et al. “Legacies of Past Land Use: Mapping Anthropogenic Landforms in Forest Areas of Eastern Bavaria, Germany.” Geoarchaeology, vol. 40, no. 1, no. 1, 2025, p. e22032. Wiley Online Library;https://doi.org/10.1002/gea.22032;
49.1;Sittler_et_al_2015;Sittler, Benoît, et al. “Agrarmorphologische Bodendenkmäler als Zeugen historischer und neuzeitlicher Landnutzung im Oberrheingraben.” Ber. Naturforsch. Ges. Freibg. im Breisgau, 2015, pp. 177–207.;https://www.zobodat.at/pdf/Berichte-naturf-Ges-Freiburg-Br_105_0177-0207.pdf;
49.2;Sittler;Sittler, B., et al. The Potential of Lidar in Assessing Elements of Cultural Heritage Hidden under Forests. p. 10.;https://www.earsel.org/symposia/2006-symposium-Warsaw/pdf/1110.pdf;
50;Sklenicka_2009;Sklenicka, Petr, et al. “Remnants of Medieval Field Patterns in the Czech Republic: Analysis of Driving Forces behind Their Disappearance with Special Attention to the Role of Hedgerows.” Agriculture, Ecosystems & Environment, vol. 129, no. 4, no. 4, Feb. 2009, pp. 465–73. ScienceDirect, .;https://doi.org/10.1016/j.agee.2008.10.026;
51.1;Slamova_2013;Slámová, Martina, et al. “Methods of Historical Landscape Structures Identification and Implementation into Landscape Studies.” Ekológia (Bratislava), vol. 32, no. 3, no. 3, Dec. 2013, pp. 267–76. sciendo.com, .;https://doi.org/10.2478/eko-2013-0023;
51.2;Slamova_2017;Slamova_2017;Slámová, Martina, et al. "Environmental factors influencing the distribution of agricultural terraces: Case study of Horný Tisovník, Slovakia." Moravian Geographical Reports, vol. 25, no. 1, Czech Academy of Sciences, Institute of Geonics, 2017, pp. 34-45. https://doi.org/10.1515/mgr-2017-0004.; https://doi.org/10.1515/mgr-2017-0004;
52;Solecki_2018;Solecki, Rafal. Wykorzystanie Lotniczego Skanowania Laserowego (ALS) w Prospekcji Dawnych Pól Uprawnych Na Przyk?adzie Reliktów z Mi?om?yna w Powiecie Ostródzkim (with Summary in English: The Airborne Laser Scanning (ALS) Prospection of the Former Agrarian Cultivation Areas: The Example of the Relics from Mi?om?yn (Ostróda County, Poland)). 2018, pp. 233–41.;https://www.researchgate.net/publication/324803476_Wykorzystanie_lotniczego_skanowania_laserowego_ALS_w_prospekcji_dawnych_pol_uprawnych_na_przykladzie_reliktow_z_Milomlyna_w_powiecie_ostrodzkim_with_summary_in_English_The_Airborne_Laser_Scanning_ALS_;
53.1;Stefunkova_2009;Stefunkova, Dagmar, and Marta Dobrovodská. “Preserved European Cultural Heritage in Agrarian Landscape of Slovakia.” Journal of Landscape Ecology, vol. 7, Jan. 2009, pp. 283–90.;https://doi.org/10.56617/tl.4112;
53.2;Sterenczak_2020;Sterenczak, Krzysztof, et al. “ALS-Based Detection of Past Human Activities in the Bia?owie?a Forest—New Evidence of Unknown Remains of Past Agricultural Systems.” Remote Sensing, vol. 12, Aug. 2020, p. 2657. ResearchGate, .;https://doi.org/10.3390/rs12162657;
54;Stolz_2011;Stolz, Christian. “Spatiotemporal Budgeting of Soil Erosion in the Abandoned Fields Area of the ‘Rahnstätter Hof’ near Michelbach (Taunus Mts., Western Germany).” ERDKUNDE, vol. 65, no. 4, no. 4, Dec. 2011, pp. 355–70. www.erdkunde.uni-bonn.de, .;https://doi.org/10.3112/erdkunde.2011.04.03;
55;Szabo_2010;Szabó, Péter. “Ancient Woodland Boundaries in Europe.” Journal of Historical Geography, vol. 36, no. 2, no. 2, Apr. 2010, pp. 205–14. Crossref,.; https://doi.org/10.1016/j.jhg.2009.10.005;
56;Vavrouchka_2022;Vavrouchová, Hana, et al. “Historical Landscape Elements of Abandoned Foothill Villages—A Case Study of the Historical Territory of Moravia and Silesia.” Land, vol. 11, Oct. 2022, p. 1809. ResearchGate, .;https://doi.org/10.3390/land11101809;
57;Zacharova_2022;Zacharová, Johana, et al. “Historical Agricultural Landforms—Central European Bio-Cultural Heritage Worthy of Attention.” Land, vol. 11, June 2022, p. 963. ResearchGate, .;https://doi.org/10.3390/land11070963;
